Ortsnetz,Landkreis,BezirkNR,Bezirk,1840,1875,1880,1885,1890,1895,1900,1905,1910,Region,Longitude,Latitude,NNID,NameGNU,PostOffice,PostRevenues,PostBahn,Bahnbezirk,RankRailWeight,TotalRailWeight,SentRailWeight,RankRailRevenues,RailRevenues,CollectedNachnahme,PaidNachnahme
Abbach,Kelheim,36,Kelheim,611,892,973,1033,1111,1278,1187,1230,1218,NB,12.04361,48.93527,DEBKGGND00000AHT,,E,2631.26,1,I,439,10234.15,8782.65,226,13722,2904,1821
Abensberg,Kelheim,36,Kelheim,1428,1885,2094,2229,2186,2339,2202,2278,2258,NB,11.84833,48.81555,DEBKGGND00000SLT,,E,10823.85,1,I,421,9579.21,3716.31,493,71402,30066,5092
Aichach,Aichach,56,Aichach,1749,2647,2608,2641,2483,2568,2576,2762,3342,OB,11.13361,48.46111,DEBKGGND000008CO,,E,12670.51,1,I,458,11406.54,5524.79,514,87647,30188,6483
Albisheim,Kirchheimbolanden,123,Kaiserslautern,948,930,987,1016,1063,1131,1120,1107,1117,PF,8.095555,49.64944,DEBKGGND00000TT1,Albisheim (Pfrimm),E,2481.61,0,Z,0,0,0,0,0,0,0
Alsenz,Rockenhausen,123,Kaiserslautern,1531,1572,1649,1726,1868,2006,2066,2172,1941,PF,7.815,49.72416,DEBKGGND00000GC9,Alsenz,E,4029.34,0,Z,0,0,0,0,0,0,0
Altdorf,Nuernberg,20,NuernbergLand,3077,3057,3293,3106,2979,2942,2867,2887,2903,MF,11.35472,49.38527,DEBKGGND00000O1U,,E,7726.69,0,Rg,299,4505.54,1752.26,413,38678,8058,975
Amberg,Amberg,101,Amberg,10627,13380,14583,15812,19126,20200,22039,24303,25242,OP,11.85444,49.44472,DEBKGGND00000RJ1,,V,61665.24,0,N,564,55348.58,23546.01,589,364974,76994,71754
Amorbach,Miltenberg,177,Miltenberg,2931,2385,2503,2280,2176,2166,2173,2261,2341,UF,9.22,49.645,DEBKGGND000026P7,,E,9488.61,0,Wg,204,2705.15,1186,352,28232,13925,5760
Annweiler,Bergzabern,183,Bergzabern,2867,2955,2945,2774,2588,3036,3664,4016,4179,PF,7.966111,49.20277,DEBKGGND00000H71,Annweiler am Trifels,E,9130.68,0,Z,0,0,0,0,0,0,0
Ansbach,Ansbach,1,Ansbach,11939,13299,14195,13935,14258,15883,17563,18478,19995,MF,10.57138,49.30055,DEBKGGND00000ROD,,Amt,76712.25,0,N,552,49433.62,7667.43,600,497660,93504,69918
Arnstein,Karlstadt,170,Karlstadt,1626,1630,1849,1816,1786,1730,1745,1771,1695,UF,9.967222,49.97861,DEBKGGND00000RTW,Arnstein,E,6076.72,1,B,293,4342.57,2336.41,339,25839,10744,1028
Arnstorf,Eggenfelden,33,Eggenfelden,1075,1276,1276,1443,1456,1441,1414,1624,1625,NB,12.81722,48.56083,DEBKGGND000000B6,,E,6242.04,0,Z,0,0,0,0,0,0,0
Arzberg,Wunsiedel,100,Wunsiedel,1990,2152,2274,2105,2164,2212,2588,3336,3844,OF,12.18527,50.05694,DEBKGGND00000MSX,,E,4237.03,0,Wn,207,2790.46,488.26,283,19293,6139,2287
Asch,Kaufbeuren,146,KaufbeurenLand,575,545,582,660,632,655,621,624,607,SC,10.83,47.94861,DEBKGGND00000BMV,,E,1569.49,0,Wn,567,61458.36,5060.62,588,360515,141479,290449
Aschaffenburg,Aschaffenburg,159,Aschaffenburg,9273,10843,12152,12393,13630,15831,18093,25891,29892,UF,9.147777,49.97333,DEBKGGND00000R5O,,Amt,98094.2,1,Wg,563,55216.16,30938.14,601,535554,163957,174077
Aschau,Muehldorf,70,Muehldorf,691,728,734,808,827,835,828,845,846,OB,12.34583,48.19638,DEBKGGND00000V6V,,E,8323.52,1,Rm,477,13757.38,10161.65,431,43154,15333,3856
Aschbach,Bamberg,84,BambergLandII,612,718,770,672,672,653,653,634,634,OF,10.56222,49.7725,DEBKGGND00000POV,,E,1775.4,0,Z,0,0,0,0,0,0,0
Aub,Ochsenfurt,180,Ochsenfurt,995,1008,1074,1071,1062,1127,1159,1333,1201,UF,10.06416,49.55166,DEBKGGND000008YD,,E,4587.99,0,Z,0,0,0,0,0,0,0
Augsburg,Augsburg,130,Augsburg,36869,57213,61408,65905,75629,81896,89170,94923,102487,SC,10.8925,48.36944,DEBKGGND00000XMW,,HE,604428.71,0,A,592,350269.83,80907.87,621,3508188,402418,456589
Babenhausen,Illertissen,145,Illertissen,1792,1866,1885,1898,1941,2079,2062,2093,2068,SC,10.25333,48.14277,DEBKGGND00000NEN,,E,6540.76,0,Z,0,0,0,0,0,0,0
BadAibling,BadAibling,73,RosenheimAibling,1278,2108,2217,2316,2495,2715,3246,3479,3858,OB,12.01027,47.86305,DEBKGGND00000X65,,E,14332.08,1,Rm,449,10622.15,6253.87,499,74985,33668,12711
BadDuerkheim,NeustadtWeinstrasse,126,NeustadtDuerkheim,5050,5841,6089,6110,6080,6055,6207,6362,6523,PF,8.169166,49.46027,DEBKGGND00000NSS,Bad Dürkheim,E,31867.98,0,Z,0,0,0,0,0,0,0
BadKissingen,BadKissingen,171,Kissingen,1608,3471,3873,4024,4245,4306,4757,5199,5831,UF,10.07888,50.19972,DEBKGGND00000HRC,,Amt,78558.59,0,Z,0,0,0,0,0,0,0
BadReichenhall,Berchtesgaden,58,Berchtesgaden,3154,3312,3302,3271,3436,3791,4193,4927,6077,OB,12.87722,47.72861,DEBKGGND00000QFC,,V,44260.72,0,Z,0,0,0,0,0,0,0
BadSteben,Naila,95,Naila,844,796,827,788,874,860,935,1014,1106,OF,11.64222,50.36583,DEBKGGND0000025P,,E,2216.22,0,Z,0,0,0,0,0,0,0
BadToelz,BadToelz,76,BadToelz,2453,3469,3671,3796,4093,4285,4789,5261,5496,OB,11.555,47.76,DEBKGGND0000089T,,E,20687.99,0,M,536,31175.82,23583.91,547,134555,63873,12737
Bamberg,Bamberg,80,Bamberg,20863,26951,29587,31521,35815,38940,41823,45483,48063,OF,10.89694,49.8975,DEBKGGND00000ETD,,HE,216822.16,0,B,581,104011.94,28863.55,615,1476316,192637,184072
Bayreuth,Bayreuth,81,Bayreuth,16660,19180,22072,23559,24556,27693,29387,31903,34547,OF,11.57805,49.94833,DEBKGGND000006NW,,Amt,131378.92,1,Wn,575,90309.62,24182.91,614,1049815,149185,124799
Behringersdorf,Lauf,17,HersbruckLauf,253,346,352,372,346,405,570,759,1035,MF,11.19944,49.48055,DEBKGGND00000G3O,,N,0,0,N,1,0,0,7,2106,0,0
Berchtesgaden,Berchtesgaden,58,Berchtesgaden,1646,1816,1780,1888,2179,2349,2634,2830,2930,OB,13.0025,47.63277,DEBKGGND00000DNT,,E,19041.64,0,Z,0,0,0,0,0,0,0
Berg,Hof,90,HofLand,608,676,654,665,678,716,736,752,779,OF,11.78,50.37416,DEBKGGND000009SB,,E,860.92,0,Z,0,0,0,0,0,0,0
Bergzabern,Bergzabern,183,Bergzabern,2592,2304,2395,2339,2253,2367,2600,2684,2696,PF,7.999166,49.10055,DEBKGGND00000R4O,Bad Bergzabern,E,12457.98,0,Z,0,0,0,0,0,0,0
Berneck,Bayreuth,85,BayreuthLand,1272,1471,1482,1423,1410,1344,1468,1715,1948,OF,11.66694,50.04416,DEBKGGND00000N21,,E,7822.52,0,Z,0,0,0,0,0,0,0
Blieskastel,SanktIngbert,129,ZweibrueckenStIngbert,1824,1683,1755,1705,1543,1525,1558,1587,1553,PF,7.258055,49.23694,DEBKGGND0000071E,,E,8273.68,0,Z,0,0,0,0,0,0,0
Bobingen,Schwabmuenchen,140,AugsburgSchwabmuenchen,1637,1795,1924,1951,1980,1841,1850,2128,2294,SC,10.83055,48.26777,DEBKGGND0000042M,,E,3160.23,1,A,401,8237.46,3780.64,501,76402,19953,8906
Bodenwoehr,Neunburg,111,NeunburgOberviechtach,805,946,984,1015,1025,1046,1030,1070,1071,OP,12.30388,49.27,DEBKGGND00000QJY,,E,2576.9,1,Wn,475,13672.44,7781.66,474,59532,23104,16234
Bogen,Bogen,30,Bogen,1218,1293,1401,1395,1277,1510,1360,1385,1453,NB,12.69305,48.90916,DEBKGGND000008JL,,E,5343.49,0,Z,0,0,0,0,0,0,0
Brannenburg,Rosenheim,73,RosenheimAibling,309,579,429,408,386,392,427,423,493,OB,12.10305,47.74138,DEBKGGND00000BOO,,E,4838.45,1,Rm,542,32734.79,18064.33,483,65132,17496,4475
Breitenberg,Wegscheid,41,PassauWegscheid,1052,1061,1032,938,906,877,852,855,870,NB,13.79416,48.70277,DEBKGGND00000XAK,,E,3489.85,0,Z,0,0,0,0,0,0,0
Bruchmuehlbach,Kaiserslautern,123,Kaiserslautern,311,312,360,433,419,395,388,410,498,PF,7.461111,49.38722,DEBKGGND000009ER,Bruchmühlbach,E,3564.15,0,Z,0,0,0,0,0,0,0
Bruck,Bruck,63,Friedberg,1349,3202,3279,3399,3222,3554,3906,4461,4747,OB,11.255,48.17944,DEBKGGND00000JKF,Fürstenfeldbruck,E,12059.31,0,Z,0,0,0,0,0,0,0
