"","Town","Bezirk","Region","PostOffice","Bahnbezirk","PostRevenues","PostRevenues_pc","Post_1900","TelegraphRevenues","TelegraphRevenues_pc","Telegraph_1900","MA_Pop_Out_1880","MA_Pop_In_1880","MA_Pop_Out_1900","MA_Pop_In_1900","MA_Post_Out_1880","MA_Post_In_1880","MA_Post_Out_1900","MA_Post_In_1900","PostBahn","RailStation","RailWeight","RailRevenues","CollectedNachnahme","PaidOutNachnahme","Nachnahme","EmpRatio82","IndexDisSim82","Y1880","Y1900","PopShare1880","City","Fringe","Border","StateTax","LocalTax","Agriculture","Participation","Zentrum","Socialist","Liberal","Catholics","DifCatholicsZentrum","InstallTime","InstallMonth"
"1","Abbach","Kelheim","NB","E","I",2631.26,2.70427543679342,4955.07,321.35,0.330267214799589,354.7,17.6540639398174,3.70433899837135,26.6686357010632,4.51906515012004,6.84626000489407,0.455136001633853,14.2015248744654,0.857091563591533,1,1,7534.58376156218,0.0129897225077081,2904,1821,1113.05241521069,0.102754468602801,0.223344020368919,0.973,1.187,0.0303521851701656,0,0,0,4.21382174106481,1.94756043304167,0.75,0.528,0.788,0.012,0.2,0.995,0.207,12,261
"2","Abensberg","Kelheim","NB","E","I",10823.85,5.16898280802292,15721.72,766.9,0.366236867239733,1265.95,16.9676478398955,7.86915964023665,26.4730700037898,8.27501887669585,4.65862149049042,1.75757316065323,10.062040332028,2.5528876611654,1,1,-1025.11461318052,0.0221719197707736,30066,5092,11926.4565425024,0.102754468602801,0.223344020368919,2.094,2.202,0.0653211467074274,0,0,0,4.21382174106481,1.94756043304167,0.75,0.528,0.788,0.012,0.2,0.995,0.207,18,255
"3","Aichach","Aichach","OB","E","I",12670.51,4.85832438650307,19689.35,938.3,0.359777607361963,871.8,17.9164373286568,9.02132281854999,29.6385762522102,8.91063174102177,6.09678445239158,1.52230998789403,13.2964600767179,2.36559492555086,1,1,-136.871165644172,0.0245176380368098,30188,6483,9089.34049079755,0.100585058505851,0.216198966103659,2.608,2.576,0.0978097809780978,0,0,0,4.70147812523212,2.77798410458293,0.637,0.58,0.828,0.082,0.088,0.971,0.143,74,199
"6","Altdorf","NuernbergLand","MF","E","Rg",7726.69,2.3463984208928,12238.26,520.3,0.158001822046766,561.75,19.2410474303157,12.5166364381934,32.9105652667275,10.8974177553296,6.91222223982268,1.28491243804969,17.4188161662196,2.03516544524059,0,1,-303.984208928029,0.00959459459459459,8058,975,2150.92620710598,0.125053610527979,0.263851294381066,3.293,2.867,0.074332407846324,0,1,0,3.58647262066799,3.05536593026908,0.117,0.774,0.008,0.564,0.419,0.201,0.193,33,240
"7","Amberg","Amberg","OP","V","N",61665.24,4.22857025303435,105587.08,3487.2,0.239127751491463,5415.3,14.4625885718186,50.5024046372781,22.5048658023745,76.3232871014861,2.82238520499861,8.19694036753055,6.34292369796934,14.0353138711805,0,1,-566.177055475554,0.0246680381265857,76994,71754,359.322498799973,0.200430889382616,0.223492915553983,14.583,22.039,0.981821854170875,1,0,0,4.15867695421199,3.61162408297496,0.67,0.5,0.743,0.023,0.101,0.807,0.0640000000000001,145,128
"8","Amorbach","Miltenberg","UF","E","Wg",9488.61,3.79089492608869,12008.29,563.7,0.225209748302038,964.85,9.28925076288789,6.2755167562398,13.8444965327207,5.44814139484982,2.01728182612006,0.86600987221004,4.14069341097096,1.09597693322427,0,1,-133.100279664403,0.00801717938473831,13925,5760,3262.08549740312,0.102963031766673,0.283969912204179,2.503,2.173,0.116245587962103,0,0,1,3.97440215560795,2.95424144733677,0.635,0.637,0.654,0.1,0.246,0.936,0.282,36,237
"10","Ansbach","Ansbach","MF","Amt","N",76712.25,5.40417400493131,149394.58,6352.8,0.447537865445579,8665.15,15.4449582376218,48.7965610759051,24.7379583848454,60.3743573213189,3.72006927166993,10.040179195201,8.61681490470252,19.5529182626216,0,1,-2402.16696019725,0.0333972525537161,93504,69918,1661.57097569567,0.211976047904192,0.177404073794713,14.195,17.563,1,1,0,0,6.92737710800144,3.46365267312522,0.597,0.654,0.002,0.078,0.839,0.138,0.136,174,99
"11","Arnstein","Karlstadt","UF","E","B",6076.72,3.28648999459167,8674.56,353.6,0.191238507301244,756.2,13.133750447869,5.48989113763292,19.3142071925289,5.18110331810138,4.16549975576307,0.727856659534079,8.31194729938635,1.03902043611158,1,1,178.610059491617,0.00871984856679286,10744,1028,5254.73228772309,0.0762400891160474,0.220805999459487,1.849,1.745,0.0605792543083677,0,0,0,4.36048729877171,1.57167241206198,0.764,0.582,0.698,0.088,0.207,0.882,0.184,14,259
"12","Arnstorf","Eggenfelden","NB","E","Z",6242.04,4.89188087774295,8826.36,443.85,0.347844827586207,611.75,11.9647413839316,4.18270841299455,18.2473727163676,4.6350702946507,2.13368417356037,0.779441981607638,4.73400212642222,1.10214537695728,0,0,0,0,0,0,0,0.0999188123405242,0.206334936541136,1.276,1.414,0.0369983762468105,0,0,0,4.80086899724534,2.30977195921961,0.783,0.416,0.836,0.01,0.154,0.997,0.161,24,249
"13","Arzberg","Wunsiedel","OF","E","Wn",4237.03,1.86324978012313,11202.16,193.1,0.0849164467897977,793.75,12.1961528465213,7.14630533392062,18.1785159307722,8.13308628152443,2.33851213925677,0.637099854095186,5.2516540380775,1.68440971660596,0,1,-797.68689533861,0.00679023746701847,6139,2287,1693.93139841689,0.153962245478612,0.339639429137599,2.274,2.588,0.0562606694871224,0,0,1,2.65138676911741,2.10199463186148,0.452,0.693,0.004,0.078,0.918,0.122,0.118,93,180
